Recipe,URL,Ingredients
Black Truffle & Parmesan Popcorn Recipe,http://www.seriouseats.com/recipes/2011/12/black-truffle-and-parmesan-popcorn-recipe.html,"1/2 cup popcorn kernels
4 tablespoons butter
2 tablespoons truffle oil
1/2 cup grated Parmesan cheese"

Truffle Alfredo Sauce,http://chezus.com/2014/12/20/truffle-alfredo-sauce/,"* 1/2 stick unsalted butter
* 1 cup heavy cream
* 2 teaspoon white truffle cream
* 5 ounce grated parmesan
* 1 pound fettuccine
* black truffle shaving ** optional for garnish"

Radish Truffle Butter,http://www.food52.com/recipes/6653_radish_truffle_butter,"1 1/2 cup radishes, quartered
3/4 teaspoons truffle salt
1/2 cup unsalted butter, room temperature"

Black Truffle Sabayon,http://www.saveur.com/article/Recipes/Black-Truffle-Sabayon,"1/2 oz. fresh black truffle pieces or shavings
3 tbsp. sugar
4 egg yolks
6 tbsp. rainwater madeira"

Black Truffle Angel Hair,http://www.frenchrevolutionfood.com/2010/12/french-in-a-flash-black-truffle-pasta/,"1 pound angel hair pasta
3 ounces black truffle butter
½ cup heavy cream
Black truffle oil (optional)"

Truffle Oil Pomme PuréE,http://www.bbcgoodfood.com/recipes/1392/,"½ tsp truffle oil , or to taste
1½ kg potatoes , such as Desirée or Maris Piper
300.0ml hot full-fat milk
6.0 tbsp double cream
100-140g/4-5oz butter , cut into cubes"

Chocolate Truffle Tagliatelle,http://norecipes.com/blog/2010/04/01/chocolate-truffle-tagliatelle-recipe/,"1 C chapati flour (can be found at Indian grocery stores)
1/2 C all-purpose flour
2 Tbs unsweetened cocoa powder sifted
1/2 tsp kosher salt
2 large eggs
2 Tbs olive oil
2.5 oz gruyere cheese freshly grated
2 Tbs roasted cacao nibs
10 roasted chestnuts crumbled
1.5 oz black truffle
smoked sea salt
minced parsley for garnish"

White Asparagus with Truffle Vinaigrette,https://www.epicurious.com/recipes/food/views/white-asparagus-with-truffle-vinaigrette-104747,"1 1/2 tablespoons Sherry vinegar
1 1/2 teaspoons fresh lemon juice
1 (15-gram) bottled black truffle (1 inch in diameter), finely minced
1/2 teaspoon kosher salt plus additional for sprinkling
4 1/2 tablespoons hazelnut or walnut oil
1 1/2 tablespoons chicken broth or truffle liquid from bottle
1 1/2 pound white asparagus, peeled and trimmed
Garnish: fresh chervil sprigs or chopped fresh chives"

Spinach And Mushrooms With Truffle Oil,http://www.bonappetit.com/recipes/2009/01/spinach_and_mushrooms_with_truffle_oil,"2 tablespoons (1/4 stick) butter
10 ounces button mushrooms or crimini (baby bella) mushrooms, sliced
1 large shallot, chopped
1 1/2 9-ounce bags fresh spinach leaves
1 to 2 teaspoons truffle oil*"

Bacon Truffle Pecorino Popcorn,https://www.tastingtable.com/entry_detail/chefs_recipes/12633/Bacon_Truffle_Pecorino_Popcorn.htm,"4 strips thick applewood-smoked bacon
4 tablespoons unsalted butter
1 tablespoon white truffle oil
4 quarts (approximately 16 cups) freshly popped corn (about ½ cup unpopped kernels)
2 ounces pecorino romano cheese, finely grated
Kosher salt"

